project,LOC,SLOC,NSC,COM_LOC,C_COM,CPP_COM,WLOC,MHF,AHF,MIF,AIF,POF,AVPATHS,DEPTH,PDIT,COM_RAT,TCOM_RAT,SEIMI,NCLASS,NFILE,NMETH,NORC,ACLOC,AMLOC,
/,803,433,261,221,37,81,149,0.048,1,0,0,0,0,0,0,0.275,0.51,13.652,2,5,22,1,289.5,18.636,
file,LOC,SLOC,N1,N2,n1,n2,NSC,COM_LOC,C_COM,CPP_COM,WLOC,COM_RAT,TCOM_RAT,NTC,NTM,
acconfig.h,70,31,2,4,1,4,3,20,15,0,19,0.286,0.645,0,0,
Archive.cpp,347,246,251,617,19,109,159,33,0,33,68,0.095,0.134,0,0,
Archive.h,183,37,22,64,6,44,28,122,18,16,24,0.667,3.297,1,0,
ArchiveInfoWidget.cpp,142,96,117,235,14,68,56,16,0,16,30,0.113,0.167,0,1,
ArchiveInfoWidget.h,61,23,12,31,3,21,15,30,4,16,8,0.492,1.304,1,0,
class,LOC,SLOC,CSA,CSO,CSAO,PPPC,NOCC,DIT,RFC,CBO,NOOC,NOAC,NAAC,NOIC,NAIC,WMC,CSI,OSavg,NPavgC,PA,TLOC,
Archive,149,29,9,17,26,65.385,0,0,33,0,0,17,9,0,0,41,0,2.412,1,0,455,
ArchiveInfoWidget,28,15,5,4,9,33.333,0,0,4,0,0,4,5,0,0,11,0,2.75,0.75,0,124,
method,LOC,SLOC,NION,N1,N2,n1,n2,NSC,CONTROL,EXEC,OC,V(G),eV(G),BRANCH,NEST,N,n,V,D,E,B,CDENS,DEPTH,V'(G),NP,NSTAT,RLOC,
addChild,6,5,2,1,4,1,4,2,0,2,3,1,1,0,0,5,5,11.61,0.5,5.805,0.001,0,1,3,1,2,0.04,
addFile,66,54,3,58,139,10,47,37,14,22,72.5,11,6,2,2,197,57,1149.08,14.787,16991.709,0.22,0.389,1,6.591,5,36,0.443,
Archive,11,10,2,1,4,1,4,2,0,1,2,1,1,0,0,5,5,11.61,0.5,5.805,0.001,0,1,2,3,1,0.074,
Archive,9,8,2,2,6,1,6,3,0,2,4,1,1,0,0,8,7,22.459,0.5,11.229,0.002,0,1,4,3,2,0.06,
ArchiveInfoWidget,56,43,2,72,152,5,52,38,2,27,67,3,1,0,0,224,57,1306.568,7.308,9547.995,0.15,0.069,1,22.333,2,29,2,
ArchiveInfoWidget::slotTextChanged,8,7,3,4,6,3,6,2,2,2,4,2,1,0,0,10,9,31.699,1.5,47.549,0.004,0.5,1,2,1,4,0,
calcRanges,34,26,2,52,81,10,39,21,4,11,33.5,5,1,0,1,133,49,746.757,10.385,7754.78,0.131,0.267,1,6.7,1,15,0.228,
getChildren,6,5,2,0,2,0,2,2,1,1,2,1,1,0,0,2,2,2,0,0,0,0.5,1,2,1,2,0.04,
getCTime,6,5,2,0,2,0,2,2,1,1,2,1,1,0,0,2,2,2,0,0,0,0.5,1,2,1,2,0.04,
getEndBlock,6,5,2,0,2,0,2,2,1,1,2,1,1,0,0,2,2,2,0,0,0,0.5,1,2,1,2,0.04,
getName,6,5,2,0,2,0,2,2,1,1,2,1,1,0,0,2,2,2,0,0,0,0.5,1,2,,2,0.04,
getRanges,6,5,2,1,3,1,3,2,1,1,2,1,1,0,0,4,4,8,0.5,4,0.001,0.5,1,2,,2,0.04,
getTape,4,4,2,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,,1,0.027,
read,47,34,3,28,92,9,30,27,5,22,92.5,5,1,0,1,120,39,634.248,13.8,8752.628,0.142,0.185,1,18.5,1,27,0.315,
readAll,9,8,2,6,13,5,8,5,1,1,4,2,1,0,0,19,13,70.308,4.063,285.628,0.014,0.5,1,2,1,2,0.06,
setArchive,25,21,3,24,44,11,28,13,4,11,27,4,1,0,1,68,39,359.407,8.643,3106.307,0.071,0.267,1,6.75,1,15,0.893,
setEndBlock,13,10,2,7,20,5,16,5,1,6,17.5,2,1,0,0,27,21,118.593,3.125,370.602,0.017,0.143,1,8.75,1,7,0.087,
setName,17,14,2,10,35,8,24,9,1,8,27,2,1,0,0,45,32,225,5.833,1312.5,0.04,0.111,1,13.5,1,9,0.114,
slotApply,12,10,3,7,12,3,11,3,3,4,7,3,1,0,0,19,14,72.34,1.636,118.374,0.008,0.429,1,2.333,1,7,0.429,
write,57,40,2,51,134,12,49,37,3,23,117,4,1,0,0,185,61,1097.187,16.408,18002.818,0.229,0.115,1,29.25,1,26,0.383,
~Archive,3,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,0.02,
~ArchiveInfoWidget,3,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,0.107,
